iter	Passed	Remaining
168	248	1219
169	249	1215
170	249	1210
171	250	1205
172	250	1199
173	251	1194
174	252	1188
175	252	1183
176	253	1177
177	253	1172
178	254	1166
179	254	1161
180	255	1155
181	256	1150
182	256	1145
183	257	1140
184	257	1135
185	258	1130
186	258	1125
187	259	1120
188	260	1116
189	260	1111
190	261	1106
191	261	1101
192	262	1096
193	262	1092
194	263	1087
195	264	1083
196	264	1078
197	265	1074
198	265	1070
199	266	1066
200	267	1062
201	267	1057
202	268	1053
203	268	1049
204	269	1045
205	270	1041
206	270	1037
207	271	1033
208	271	1029
209	272	1025
210	273	1021
211	273	1017
212	274	1013
213	274	1009
214	275	1006
215	276	1002
216	276	998
217	277	994
218	277	990
219	278	986
220	278	982
221	279	979
222	280	976
223	280	973
224	281	969
225	282	965
226	282	962
227	283	959
228	283	955
229	284	952
230	284	948
231	285	945
232	286	942
233	286	938
234	287	935
235	288	932
236	288	929
237	289	925
238	289	922
239	290	919
240	290	916
241	291	912
242	291	909
243	292	906
244	292	902
245	293	899
246	294	896
247	294	893
248	295	891
249	296	888
250	296	885
251	297	881
252	297	878
253	298	875
254	298	872
255	299	869
256	299	866
257	300	863
258	300	860
259	301	857
260	301	854
261	302	851
262	302	848
263	303	846
264	304	843
265	304	840
266	305	837
267	305	834
268	306	831
269	306	829
270	307	826
271	307	823
272	308	820
273	308	818
274	309	815
275	310	813
276	310	811
277	311	808
278	312	806
279	312	803
280	313	801
281	313	799
282	314	796
283	315	794
284	315	791
285	316	789
286	316	786
287	317	784
288	317	781
289	318	779
290	318	776
291	319	774
292	319	771
293	320	769
294	320	767
295	321	764
296	322	762
297	322	759
298	323	757
299	323	755
300	324	752
301	324	750
302	325	748
303	326	746
304	326	744
305	327	742
306	327	739
307	328	737
308	328	735
309	329	733
310	329	730
311	330	728
312	330	726
313	331	724
314	331	721
315	332	719
316	333	717
317	333	715
318	334	713
319	334	711
320	335	709
321	335	706
322	336	704
323	336	702
324	337	700
325	337	698
326	338	696
327	338	694
328	339	692
329	341	693
330	342	691
331	342	689
332	343	687
333	343	685
334	344	683
335	344	681
336	345	679
337	345	677
338	346	675
339	346	673
340	347	671
341	348	669
342	348	667
343	349	665
344	349	663
345	350	661
346	350	659
347	351	658
348	351	656
349	352	654
350	352	652
351	353	650
352	353	648
353	354	646
354	355	645
355	355	643
356	356	641
357	356	640
358	357	638
359	358	636
360	358	634
361	359	632
362	359	631
363	360	629
364	360	627
365	361	625
366	361	624
367	362	622
368	363	620
369	363	619
370	364	617
371	364	615
372	365	613
373	365	612
374	366	610
375	366	608
376	367	606
377	367	605
378	368	603
379	368	601
380	369	600
381	370	598
382	370	597
383	371	595
384	372	594
385	372	592
386	373	591
387	373	589
388	374	587
389	374	586
390	375	584
391	375	583
392	376	581
393	377	579
394	377	578
395	378	576
396	378	575
397	379	573
398	379	572
399	380	570
400	380	568
401	381	567
402	381	565
403	382	564
404	383	562
405	383	561
406	384	559
407	384	558
408	385	556
409	386	555
410	386	554
411	387	552
412	387	551
413	388	549
414	388	548
415	389	546
416	390	545
417	390	543
418	391	542
419	391	540
420	392	539
421	392	537
422	393	536
423	393	534
424	394	533
425	394	532
426	395	530
427	395	529
428	396	527
429	396	526
430	397	524
431	398	523
432	398	521
433	399	520
434	399	519
435	400	518
436	401	517
437	402	515
438	402	514
439	403	513
440	403	512
441	404	510
442	405	509
443	405	508
444	406	507
445	407	505
446	408	504
447	408	503
448	409	502
449	409	501
450	410	499
451	411	498
452	411	497
453	412	495
454	413	494
455	413	493
456	414	492
457	414	490
458	415	489
459	416	488
460	416	487
461	417	486
462	418	484
463	418	483
464	419	482
465	419	481
466	420	479
467	421	478
468	421	477
469	422	476
470	422	474
471	423	473
472	423	472
473	424	470
474	424	469
475	425	468
476	426	467
477	426	466
478	428	465
479	428	464
480	429	463
481	429	461
482	430	460
483	431	459
484	432	458
485	432	457
486	433	456
487	434	455
488	434	454
489	435	452
490	435	451
491	436	450
492	436	449
493	437	448
494	438	446
